Genesis,Gen.,Ge.,Gn.
Exodus,Exod.,Ex.,Exo.
Leviticus,Lev.,Lv.,Le.
Numbers,Num.,Nm.,Nu.
Deuteronomy,Deut.,Dt.,De.
Joshua,Josh.,Jos.
Judges,Judg.,Jdg.,Jgs.
Ruth,Rut.,Ru.
1 Samuel,1 Sam.,1Sm,1Sa,I Sa,I Sam.,I Sm.,I Sa.,First Samuel,First Sam
2 Samuel,2 Sam.,2Sm,2Sa,II Sa,II Sam.,II Sm.,II Sa.,Second Samuel,Second Sam
1 Kings,1 Kgs.,1Kg,1Ki,I Ki,I Kgs,I Ki,I Kg,First Kings,First Kgs
2 Kings,2 Kgs.,2Kg,2Ki,II Ki,II Kgs,II Ki,II Kg,Second Kings,Second Kgs
1 Chronicles,1 Chr.,1 Chron,1Ch,I Chr,I Chron,I Chr,I Ch,First Chronicles,First Chron
2 Chronicles,2 Chr.,2 Chron,2Ch,II Chr,II Chron,II Chr,II Ch,Second Chronicles,Second Chron
Ezra,Ezr.,Ezr.,Ez.
Nehemiah,Neh.,Ne.
Tobit,Tob.,Tb.
Judith,Jdt.,Jth.
Esther,Esth.,Est.,Es,Es.,Esth.
1 Maccabees,1 Macc.,1Mc.,1Ma.
2 Maccabees,2 Macc.,2Mc.,2Ma.
Job,Jb.
Psalms,Ps.,Psalm,Pslm.,Psa.,Psm.,Pss.
Proverbs,Prov.,Prv.,Pr.
Ecclesiastes,Eccl.,Eccles.,Ec.
Qoheleth,Qoh.
Song of Songs,Song.,SS.,So.,Sg.
Canticle of Canticles ,Cant.,Can.
Wisdom (of Solomon),Wis.,Ws.
Sirach,Sir.
Ecclesiasticus,Ecclus.
Isaiah,Isa.,Is.
Jeremiah,Jer.,Je.
Lamentations,Lam.,La.
Baruch,Bar.,Ba.
Ezekiel,Ezek.,Ezk.,Ez.
Daniel,Dan.,Dn.,Da.
Hosea,Hos.,Ho.
Joel,Joe.,Jl.
Amos,Amo.,Am.
Obadiah,Obad.,Ob.
Jonah,Jon.
Micah,Mic.,Mi.
Nahum,Nah.,Na.
Habakkuk,Hab.,Hb.
Zephaniah,Zeph.,Zep.
Haggai,Hag.,Hg.
Zechariah,Zech.,Zec.
Malachi,Mal.,Ml.
Matthew,Matt.,Mat.,Mt.
Mark,Mar.,Mk.
Luke,Lk.,Luk.,Lu.
John,Joh.,Jhn.,Jn.
Acts,Acts.,Ac.,Act.
Romans,Rom.,Rm.,Ro.
1 Corinthians,1 Cor.,1Co.
2 Corinthians,2 Cor.,2Co.
Galatians,Gal.,Ga.
Ephesians,Eph.,Ep.
Philippians,Phil.,Php.
Colossians,Col.,Co.
1 Thessalonians,1 Thess.,1Th.
2 Thessalonians,2 Thess.,2Th.
1 Timothy,1 Tim.,1Ti.
2 Timothy,2 Tim.,2Ti.
Titus,Tit.,Ti.
Philemon,Phlm.,Philem.,Phm.
Hebrews,Heb.,He.
James,Jas.,Ja.
1 Peter,1 Pet.,1 Pt.,1Pe.
2 Peter,2 Pet.,2 Pt.,2Pe.
1 John,1 Jn.,1 Jo.,1 Jhn.
2 John,2 Jn.,2 Jo.,2 Jhn.
3 John,3 Jn.,3 Jo.,3 Jhn.
Jude,Jud.,Ju.
Revelation,Rev.,Re.,Rv.
Apocalypse,Apoc.,Ap.
Epistle to the Laodiceans,Ep. Lao.,Epistle to Laodiceans,Epist. Laodiceans,Ep. Laod.,Laodiceans,Laod.
Psalms of Solomon,Ps. Solomon,Ps. Sol.,Psalms Solomon,PsSol.
Additional Psalm,Add. Psalm,Add. Ps.
